Company Name,Job Title,About Company,Location,Skills Required,Logo,Tags
Skill-Lync,Inside Sales Specialist,"Skill-Lync is an e-learning platform that provides advanced mechanical & automotive engineering courses, whose primary focus is to bridge the skill gap between engineers and the industries. Alongside this, we have been growing tremendously from a five-member team to an 800 member team with a talented bunch of young folks and experienced professionals across all the groups. 

We are delighted with our accomplishments so far and really excited about our future challenges. Skill-Lync delivers quality education by leveraging technology to equip students with the technical skillset they require to start and succeed in their respective career paths. Quality educational content created by industry experts is distributed online through our platform across the globe at an affordable rate.",Hyderabad,English Proficiency (Spoken)  English Proficiency (Written)  Sales ,https://images1-fabric.practo.com/dermafollix-hair-transplant-and-skin-clinic-surat-1449058531-565ee0e388f5a.png,inside sales specialist english proficiency (spoken) english proficiency (written) sales
Bagzone Lifestyles Private Limited,Web Development,"Our company has various fashion brands and operates 250+ stores at a pan-India level. Lavie was launched in 2010 and has an exciting collection of handbags and shoes. This is our in-house brand. We are proud to say that within a short span of 8 years, we have been able to gain market share and become the #1 handbag brand in India. Accessorize is from the UK and is devoted to bringing the most exciting and eclectic products in the fashion category. We are the #1 accessories brand in India and worldwide. Wacoal is a manufacturer of women's lingerie and underwear, founded in 1949 in Japan, and is the leader in Japan with over 75% market share, as also the leader in Thailand, Indonesia, and many parts of Europe. 

We believe in driving the inner beauty of women, by better-fitting lingerie. Havaianas is the #1 flip flop Brazil brand in the world. We have launched this brand in late 2018 in India.",Mumbai,ASP.NET  CSS  HTML  JavaScript  PHP  Ruby on Rails  Search Engine Optimization (SEO) ,https://internshala.com/cached_uploads/logo%2F5e2034cb713da1579168971.png,web development asp.net css html javascript php ruby on rails search engine optimization (seo)
PNB MetLife India Life Insurance Company Limited,IT Infrastructure,"PNB MetLife India Insurance Company Limited (PNB MetLife) is one of the fastest-growing life insurance companies in the country, having as its shareholders, MetLife International Holdings LLC. (MIHL), Punjab National Bank Limited (PNB), Jammu & Kashmir Bank Limited (JKB), M. Pallonji and Company Private Limited, and other private investors, with MIHL and PNB being the majority shareholders. PNB MetLife has been present in India since 2001. PNB MetLife brings together the financial strength of a leading global life insurance provider, MetLife Incorporation, and the credibility and reliability of PNB, one of India's oldest and leading nationalized banks.",Mumbai, ,https://images1-fabric.practo.com/dermafollix-hair-transplant-and-skin-clinic-surat-1449058531-565ee0e388f5a.png,it infrastructure
HDFC Ergo General Insurance Company Limited,Backend Development,"HDFC ERGO General Insurance Company Limited is a 74:26 joint venture between HDFC Limited, India's premier housing finance institution, and ERGO International AG, the primary insurance entity of Munich Re Group. The company offers a complete range of general insurance products ranging from motor, health, travel, home, and personal accident in the retail space and customized products like property, marine, and liability insurance in the corporate space.",Mumbai,Node.js  REST API ,https://images1-fabric.practo.com/dermafollix-hair-transplant-and-skin-clinic-surat-1449058531-565ee0e388f5a.png,backend development node.js rest api
IIT Bombay,Machine Learning,"The Indian Institute of Technology, Bombay (IITB) is one of the fifteen higher institutes of technology in the country set up with the objective of making facilities available for higher education, research, and training in various fields of science and technology. With the same mission and vision, Prof. Ganesh Ramakrishnan is gearing to take rural India a leap ahead. For his outstanding contributions, he has also been awarded the IBM Faculty Award 2011.",Work From Home,Computer Vision  Deep Learning  Machine Learning  Mathematics  Natural Language Processing (NLP)  REST API ,https://internshala.com/cached_uploads/logo%2F5e2fde17552201580195351.gif,machine learning computer vision deep learning machine learning mathematics natural language processing (nlp) rest api
IIT Bombay,C++ Development (QT Creator),"The Indian Institute of Technology, Bombay (IITB) is one of the fifteen higher institutes of technology in the country, set up intending to make facilities available for higher education, research, and training in various fields of science and technology. Professor Ganesh Ramakrishnan (department of CSE) and professor Ramasubramanian (department of humanities and social sciences) are attempting to significantly speed up the process of digitization of Sanskrit texts. Enabled by the OCR and post-editing related technologies developed at IIT Bombay, they are now seeking the participation of the community of Sanskrit lovers, software developers, machine learning enthusiasts, project managers, etc.",Work From Home,C++ Programming  C Programming  Data Structures ,https://internshala.com/cached_uploads/logo%2F5e2fdbd773f701580194775.gif,c++ development (qt creator) c++ programming c programming data structures
Viacom India LLP,Web Development,"Viacom India is a video production agency, a new breed of digital & creative service provider in Gurgaon & Delhi-NCR. Viacom India is focused on delivering services including creative, innovative, and unique 360-degree corporate videos/corporate films, digital video content, advertising, infomercials, social media advertising, interactive media services, brand promotions, on-air (radio) advertising, digital marketing, consulting, research, and analytics.",Gurgaon,Amazon Web Server (AWS)  Bootstrap  CSS  Django  Express.js  HTML  JavaScript  jQuery  MySQL  Node.js  PHP  ReactJS  WordPress ,https://internshala.com/cached_uploads/logo%2F5e2fdd55c1be61580195157.jpg,web development amazon web server (aws) bootstrap css django express.js html javascript jquery mysql node.js php reactjs wordpress
Smartways,Full Stack Development,We are a team of young and dynamic minds working to create an impact on the internet. Smartways is a brand management company working towards helping businesses become a brand name and create a solid internet presence. We provide marketing and technology solutions to cater to all of a company's digital needs.,Noida,AngularJS  CSS  HTML  JavaScript  MySQL  PHP  ReactJS ,https://internshala.com/cached_uploads/logo%2F63923556a8f6c1670526294.png,full stack development angularjs css html javascript mysql php reactjs
Newgen Creations Private Limited,Machine Learning,Newgen Creations Private Limited is about research and development. We are a leading community that partners with schools and colleges to find new strategies to improve the quality of education.,Bangalore,Machine Learning ,https://images1-fabric.practo.com/dermafollix-hair-transplant-and-skin-clinic-surat-1449058531-565ee0e388f5a.png,machine learning machine learning
Telugu Engineering,YouTube Teaching,"Telugu Engineering is an education content creation platform located in Hyderabad. We are affiliated with Eduzip. Our YouTube channel has 10,000 active learners and 1.5-2 lakh active visitors every month. We believe everyone should get free and quality education in this advanced world & education is a basic right to everyone. Currently, we are providing flexibility for tutors to teach in English, Telugu. We are a group of passionate teachers who have their own unique way of teaching, upskilling learners in all B.Tech subjects and limited to other non-technical subjects.",Work From Home,Online Teaching  Telugu Proficiency (Spoken)  VLSI ,https://internshala.com/cached_uploads/logo%2F613091438500b1630572867.jpeg,youtube teaching online teaching telugu proficiency (spoken) vlsi
